2	Democrats are kind of falling over each other seeing who can raise taxes faster. It looks like they're going to raise taxes anywhere between 20 to 30 percent.	Playing fast and loose with numbers
3	I'll tell you what I can tell this country: If they want a president who doesn't believe in God, there's probably plenty of choices.	There are no atheist candidates.
4	Barack Obama and Hillary Clinton have changed their positions (on the Iraq war withdrawal) to follow Chris Dodd.	Iraq claim questionable
5	Roadside bombs are responsible for 70 percent of casualties in Iraq and these new mine-resistant vehicles can reduce those casualties by two-thirds.	New trucks are safer, but how much?
6	... study after study has shown that the death penalty deters murders.	Thompson ignores contrary death penalty research
7	Let's pay attention to kids who are not going to college, which ends up being about 60 percent of the kids... and get them trained for the jobs that are there. Because, you know, there are auto mechanic jobs paying $50,000, $60,000 that they can't get filled. There are airline mechanic jobs paying a lot of money that can't get filled. Remarks at AFSCME forum 6/19/2007	There are plenty of jobs available for trained automobile and airline technicians, but Clinton overestimates how much they pay.
8	Hillary Clinton was against setting a deadline for withdrawal, but now she wants a precipitous withdrawal regardless of conditions on the ground or consequences of a defeat for the United States, an RNC radio ad.	Clinton has avoided setting a withdrawal deadline
9	Barack Obama supported keeping troops in Iraq, but now he wants a precipitous withdrawal regardless of conditions on the ground or consequences of a defeat for the United States, an RNC radio ad.	Obama urges withdrawal, but allows for national interest concerns.
10	An estimated 56 million Americans don't have bank accounts.	Correct, but he uses the most sensational estimate
25601	On Sept. 9, 2021, U.S. Rep. Liz Cheney, R-Wyo. responded to former U.S. President Donald Trump's endorsement of GOP challenger Harriet Hagemen, tweeting, Here’s a sound bite for you: Bring it.	Yes, Liz Cheney Tweeted 'Bring It,' Then Lost to Trump's Pick
25602	The daughter of U.S. Vice President Dick Cheney went to Iraq to become a human shield.	Cheney's Daughter as Human Shield
25603	Singer and actress Cher died in December 2022 or January 2023.	Cher Death Hoax
25604	Musicians Robert Plant and Cher plan to wed at Westminster Abbey in July 2016.	Cher and Robert Plant Aren't Getting Married
25605	A picture shows a new animal species that's taking over at Chernobyl.	Is This a 'New Animal Species Taking Over Chernobyl'?
25606	A photograph shows a bag of carrots that were grown in Chernobyl.	Are These 'Chernobyl-Grown Carrots' Real?
25607	A leaked e-mail revealed Clinton aide Cheryl Mills calling the men who died in Benghazi idiot soldiers and saying she was glad they were tortured.	Cheryl Mills Called Benghazi Dead 'Idiot Soldiers' in Leaked E-Mail
25608	Chester Bennington and Chris Cornell were murdered because they were about to reveal a ring of pedophiles.	Were Chester Bennington and Chris Cornell Murdered to Cover Up a Pedophile Ring?
25609	A maternity department at a U.K. hospital announced in February 2021 that it was expanding terms it used in maternity care to include, for example, chestfeeding and pregnant people, in order to be more inclusive of trans and nonbinary patients.	Were UK Midwives Encouraged To Say 'Chestfeeding' To Be More Inclusive?
25610	Chet Hanks is actor Tom Hanks' son.	Is Chet Hanks Tom Hanks' Son?
25611	The Chevrolet Nova sold poorly in Spanish-speaking countries because its name translates as doesn't go in Spanish.	Did the Chevrolet Nova Fail to Sell in Spanish-Speaking Countries?
25612	Chevron has denied accommodation to Louisiana National Guard helicopters battling the Gulf oil spill.	Chevron and the National Guard
25613	Chevy Chase died of a heart attack on 4 January 2016.	Chevy Chase Death Hoax
